id,corridorid,level,name,longname,unit,image,enable,idSAP,tax,creationdate,lastmodifydate,bImage,salescount,owner,tipo_art
11,1760,A020701,AGUA MINERAL ZENDA 18 L,AGUA MINERAL ZENDA 18 LITROS,ST,,0,000000000010007470,0.12,7/6/2011,4/26/2018,-1,110,0,ZVIV
12,1760,A020701,AGUA MINER ALPES 19L,AGUA MINERAL LOS ALPES 19 LITROS,ST,,0,000000000010007527,0.12,7/6/2011,4/26/2018,0,22,0,ZVIV
14,1760,A020701,BOT V ALPES AGUA 19L,BOTELLON VACIO PARA AGUA LOS ALPES 19 L,ST,,0,000000000010007528,0.12,7/6/2011,6/15/2016,0,2,0,ZVIV
15,1760,A020701,BOT V ZENDA AGUA 19 LT,BOTELLON VACIO PARA AGUA ZENDA 19 LT,ST,,0,000000000010007530,0.12,7/6/2011,6/15/2016,0,7,0,ZVIV
16,2214,E020404,BDJA HORNEAR PAVO ALUM,BANDEJA HORNEAR PAVO OVALADA ALUMI DES,ST,,0,000000000026002176,0.12,7/6/2011,4/26/2018,0,0,0,ZHOG
19,1949,B030001,AZUCAR DETALLADA 1KG,AZUCAR DETALLADA 1 KG,ST,,0,000000000016000560,0,7/6/2011,11/15/2011,0,3,0,
71,1750,A020401,YUK DUR L BOREK POLLO,COMBO YUKERY DURAZ LATA Y BOREKA POLLO,ST,,0,000000000010009535,0.12,1/18/2012,6/30/2015,0,0,0,ZVIV
72,1750,A020401,MALTA NR 250 EMP POLLO,COMBO MALT MALT NR 250 Y EMPANADA POLLO,ST,,0,000000000010009536,0.12,1/18/2012,5/22/2014,0,0,0,ZVIV
73,1744,A020101,PEPSI LT Y EMP POLLO,COMBO PEPSI LATA 355 ML Y EMPANADA POLLO,ST,,0,000000000010009537,0.12,1/19/2012,11/11/2013,0,1,0,ZVIV
735,2492,I010002,"CERVEZ POL LIG RE,22",CERVEZA POLAR LIGHT BOT RETORNABLE 222ML,ST,,0,000000000044001336,0.12,11/3/2012,11/5/2012,0,0,0,ZLIC
759,2491,I010001,CERV POLAR ICE RT,CERVEZA POLAR ICE RETORNABLE 222 ML,ST,,0,000000000044001339,0.12,11/3/2012,8/12/2014,0,1,0,ZLIC
1112,2255,F010302,"ALNAFOL 6,7MTS","PAPEL ALUMINIO ALNAFOL 6,7 MTR",ST,,0,000000000030000063,0.12,7/6/2011,11/15/2011,0,0,0,
7590,2491,I010001,"CERVEZ POL PIL RT,22",CERVEZA POLAR PILSEN RETORNABLE 222ML,ST,,0,000000000044001331,0.12,11/3/2012,11/5/2012,0,0,0,ZLIC
12378,1992,B060302,LEVADU FLEIS INS M S 125,LEVADURA FLEISCHMANN INST TODO USO 125GR,ST,,0,000000000016000356,0.12,7/6/2011,11/15/2011,0,0,0,
20003,2705,P030101,CUAJADA,CUAJADA,KG,,0,000000000000020003,0,7/6/2011,11/15/2011,0,4,0,
20008,2706,P030102,QUES AHUM LENADOR,QUESO AHUMADO LENADOR X KG,KG,,-1,000000000000020008,0.12,7/6/2011,6/7/2018,0,7,0,ZCHQ
20016,2709,P030202,AMARILLO BROSSO COLONIA,QUESO AMARILLO BROSSO URUGUAY TIP COLON,KG,,0,000000000000020016,0.12,7/6/2011,1/28/2013,0,31,0,ZCHQ
20019,2709,P030202,QUE CALC AMAR URUG,QUESO CALCAR AMARILLO URUGUAYO,KG,,0,000000000000020019,0.12,7/6/2011,6/18/2013,0,2,0,ZCHQ
20024,2709,P030202,GOUDA CASTILLA BOLA,QUESO GOUDA CASTILLA BOLA,KG,,0,000000000000020024,0.12,12/4/2013,2/3/2014,0,4,0,ZCHQ
20025,2709,P030202,QUESO CLALDY EDAM,QUESO EDAM CLALDY BARRA,KG,,0,000000000000020025,0.12,7/6/2011,6/18/2013,0,2,0,ZCHQ
20027,2709,P030202,QUE CLAL AMAR T COL,QUESO CLALDY AMARILLO TIPO COLONIA,KG,,0,000000000000020027,0.12,7/6/2011,11/15/2011,0,0,0,
